age,gender,frequent_flyer,flight_distance,departure_delay,arrival_delay,seat_comfort,in_flight_entertainment,food_service,onboard_service,baggage_handling,checkin_ease,wifi_connectivity,satisfaction
40,Female,Yes,2632.0,3.0,6.0,2,2,1,3,4,1,2,1
42,Male,No,197.0,1.0,21.0,2,3,2,2,3,3,2,1
47,Male,No,482.0,15.0,38.0,2,3,3,4,2,3,3,1
29,Female,Yes,599.0,19.0,5.0,4,3,4,1,4,4,4,3
46,Male,Yes,356.0,7.0,1.0,4,4,4,3,3,1,2,3
38,Male,No,397.0,6.0,0.0,5,5,2,5,4,4,1,4
46,Female,No,529.0,12.0,2.0,5,4,1,5,3,5,1,5
48,Male,No,242.0,11.0,31.0,5,5,3,4,1,3,3,3
23,Female,No,2826.0,12.0,2.0,2,2,2,3,5,3,1,1
27,Male,No,493.0,1.0,3.0,2,3,3,1,3,3,3,1
31,Male,No,2533.0,6.0,1.0,2,1,4,3,5,5,2,4
32,Female,No,2951.0,2.0,4.0,1,5,1,3,5,2,1,1
32,Female,Yes,2379.0,6.0,6.0,2,2,4,4,4,2,2,2
27,Male,No,631.0,3.0,14.0,1,1,4,3,3,2,1,1
23,Female,No,2457.0,4.0,7.0,1,2,4,1,4,3,3,1
42,Male,Yes,2553.0,0.0,3.0,5,5,2,5,4,2,4,5
50,Female,No,2096.0,7.0,4.0,4,4,2,3,4,4,3,3
30,Male,Yes,574.0,3.0,11.0,1,1,2,1,4,2,1,1
30,Male,No,3085.0,17.0,24.0,1,3,5,3,4,3,3,1
31,Male,No,2325.0,11.0,24.0,4,3,5,4,3,4,2,3
23,Male,Yes,3351.0,23.0,10.0,3,3,4,3,5,3,3,3
29,Male,Yes,412.0,1.0,7.0,1,4,1,3,4,5,4,1
27,Male,No,2930.0,9.0,31.0,3,4,2,2,5,4,3,1
29,Male,No,2257.0,31.0,6.0,2,2,3,1,3,4,4,1
29,Female,Yes,514.0,17.0,14.0,5,5,3,5,4,4,2,4
47,Female,No,339.0,7.0,12.0,2,3,2,2,3,4,2,1
25,Female,No,451.0,19.0,3.0,2,1,3,3,4,2,1,1
26,Male,Yes,346.0,4.0,3.0,2,4,3,4,3,4,2,3
29,Male,No,2268.0,17.0,4.0,2,2,4,4,2,3,5,2
27,Female,No,2992.0,8.0,1.0,1,5,3,3,3,3,4,1
40,Male,Yes,2728.0,16.0,51.0,5,3,4,4,3,3,3,2
66,Male,Yes,2448.0,2.0,2.0,1,2,1,1,5,5,3,1
50,Male,No,2747.0,23.0,18.0,2,2,4,3,4,4,1,1
30,Female,No,2953.0,32.0,7.0,1,2,3,2,4,2,1,1
36,Male,Yes,522.0,4.0,7.0,3,4,5,3,5,4,2,3
40,Male,No,2184.0,2.0,5.0,3,4,3,2,3,4,3,2
55,Male,Yes,482.0,33.0,0.0,2,2,3,2,3,4,3,1
27,Male,No,436.0,14.0,0.0,5,4,2,1,3,5,1,4
60,Female,No,2186.0,6.0,7.0,3,2,4,3,4,2,3,3
45,Male,No,2206.0,10.0,5.0,5,3,1,4,2,4,5,3
20,Female,No,3521.0,12.0,5.0,5,5,3,4,3,3,2,4
49,Male,No,437.0,24.0,14.0,4,4,3,5,2,5,2,4
31,Female,Yes,804.0,29.0,1.0,3,2,4,2,3,5,2,2
20,Female,No,2995.0,14.0,12.0,3,4,2,3,2,4,4,2
31,Female,Yes,503.0,3.0,11.0,3,5,1,2,4,3,3,3
29,Female,No,505.0,23.0,5.0,3,2,3,3,4,2,2,1
40,Male,No,543.0,26.0,2.0,4,3,2,4,3,2,4,3
60,Female,No,268.0,52.0,3.0,5,3,4,5,3,4,3,5
38,Male,No,2503.0,15.0,17.0,2,1,2,2,3,4,4,1
38,Female,No,637.0,13.0,6.0,4,3,3,2,5,1,2,1
36,Male,No,320.0,7.0,5.0,5,2,4,4,5,3,1,4
51,Male,No,498.0,5.0,3.0,3,3,3,3,5,3,1,3
68,Female,Yes,610.0,6.0,4.0,5,4,2,4,3,2,2,5
56,Male,Yes,2811.0,2.0,8.0,3,5,4,5,4,3,2,5
31,Male,No,2228.0,8.0,3.0,2,1,4,1,4,2,3,2
25,Female,No,2505.0,6.0,1.0,1,3,4,2,4,3,5,2
30,Female,Yes,579.0,27.0,7.0,5,4,2,3,4,4,1,5
39,Female,Yes,314.0,15.0,39.0,4,1,4,3,4,3,4,1
43,Male,No,3279.0,2.0,9.0,2,2,4,1,2,5,5,2
29,Female,No,2483.0,10.0,70.0,5,5,2,3,5,1,4,2
41,Female,No,559.0,3.0,1.0,5,4,3,4,5,3,2,5
29,Female,No,2260.0,13.0,5.0,5,4,3,5,4,5,3,5
26,Male,No,2434.0,14.0,1.0,3,3,3,4,5,3,4,2
33,Female,No,679.0,5.0,7.0,3,2,2,2,4,3,4,1
30,Female,No,594.0,3.0,2.0,2,4,4,4,2,5,1,5
35,Male,No,416.0,6.0,1.0,5,4,3,4,1,4,1,4
33,Female,No,770.0,1.0,7.0,3,2,2,2,5,3,2,1
24,Female,No,3139.0,1.0,1.0,1,2,3,2,4,5,1,1
39,Female,No,2757.0,12.0,18.0,1,2,4,4,4,3,3,1
37,Female,Yes,2720.0,1.0,29.0,1,1,2,3,2,2,4,1
42,Female,No,810.0,12.0,31.0,2,1,1,1,3,2,2,1
38,Female,No,3072.0,7.0,17.0,1,2,3,1,4,2,3,1
36,Male,No,249.0,9.0,17.0,5,4,5,4,4,4,4,5
37,Male,Yes,361.0,29.0,4.0,2,3,4,3,4,3,4,2
23,Male,No,637.0,0.0,5.0,4,3,4,4,1,3,2,4
33,Female,Yes,2240.0,3.0,0.0,5,5,2,5,5,3,1,5
34,Female,Yes,2426.0,5.0,8.0,3,3,1,2,5,3,1,4
53,Female,No,2435.0,3.0,2.0,3,3,3,4,3,5,2,3
28,Female,No,2721.0,8.0,0.0,1,2,2,2,4,3,1,1
42,Female,Yes,324.0,12.0,16.0,3,4,3,3,3,4,4,4
42,Female,No,460.0,1.0,12.0,3,1,5,1,5,3,1,1
30,Male,No,476.0,7.0,3.0,4,5,5,2,3,4,2,4
48,Female,No,1978.0,7.0,1.0,2,1,2,2,4,4,1,2
37,Male,No,2217.0,9.0,6.0,3,3,3,3,5,4,3,2
34,Female,No,393.0,4.0,4.0,5,3,5,5,2,4,3,4
43,Female,Yes,340.0,3.0,5.0,1,3,2,2,2,3,1,1
30,Female,No,485.0,13.0,4.0,2,2,4,1,3,1,4,1
46,Female,No,319.0,18.0,31.0,5,5,3,4,5,3,3,4
22,Male,No,2796.0,4.0,5.0,3,4,4,4,4,1,3,2
50,Female,No,2529.0,1.0,0.0,3,4,4,5,4,1,5,5
21,Female,No,3104.0,1.0,5.0,2,1,3,2,3,3,1,1
39,Male,No,481.0,14.0,3.0,3,3,3,3,4,2,4,2
38,Male,No,137.0,0.0,1.0,5,3,3,2,5,4,3,5
26,Male,Yes,757.0,30.0,1.0,3,3,4,3,5,4,4,4
28,Female,Yes,2368.0,5.0,2.0,4,4,4,5,4,2,2,4
41,Female,No,402.0,16.0,3.0,3,5,4,3,5,3,1,3
18,Female,No,571.0,9.0,2.0,4,4,3,2,4,4,1,4
31,Male,No,842.0,6.0,2.0,1,3,1,3,4,2,2,1
33,Female,No,653.0,19.0,0.0,3,3,2,5,4,5,2,4
23,Male,No,339.0,8.0,11.0,2,5,4,2,2,4,4,2
46,Male,No,2274.0,2.0,6.0,3,4,3,4,4,3,2,5
44,Male,Yes,558.0,16.0,0.0,3,3,4,3,4,2,2,2
47,Male,No,506.0,32.0,1.0,4,3,1,3,4,4,1,1
35,Female,No,520.0,1.0,14.0,2,3,2,1,4,3,1,1
39,Female,Yes,523.0,17.0,9.0,4,4,1,3,3,3,4,2
33,Female,Yes,652.0,44.0,15.0,1,2,2,4,5,4,5,1
36,Female,No,2213.0,1.0,18.0,1,3,4,3,1,4,3,1
24,Male,No,2744.0,7.0,21.0,4,4,3,4,4,5,2,3
33,Female,Yes,2583.0,2.0,8.0,2,2,4,2,3,5,1,2
47,Female,No,2779.0,3.0,0.0,3,3,2,4,5,5,2,5
27,Male,No,446.0,12.0,9.0,2,2,2,2,5,4,4,2
26,Female,No,2979.0,2.0,6.0,3,2,1,4,2,5,1,3
41,Male,No,2181.0,1.0,9.0,1,5,3,3,3,3,1,4
20,Male,Yes,728.0,2.0,2.0,2,3,3,2,5,5,4,3
26,Male,Yes,2425.0,5.0,1.0,3,1,3,3,4,3,2,2
44,Female,Yes,231.0,13.0,12.0,3,4,4,4,5,3,1,1
35,Female,No,2959.0,1.0,16.0,2,3,4,3,5,3,1,2
31,Male,Yes,2548.0,17.0,7.0,5,5,3,4,3,5,1,5
27,Female,No,3660.0,8.0,4.0,5,5,4,5,4,2,2,5
50,Male,No,2921.0,14.0,0.0,5,5,1,5,3,5,1,5
49,Female,No,443.0,5.0,4.0,4,1,3,4,1,4,3,3
23,Female,No,413.0,2.0,1.0,2,1,1,2,5,3,1,1
34,Female,No,603.0,3.0,17.0,2,5,4,3,4,2,1,2
20,Female,Yes,502.0,6.0,3.0,1,2,4,2,1,3,1,1
29,Female,Yes,2427.0,16.0,9.0,3,2,2,4,3,5,1,1
25,Female,No,557.0,13.0,1.0,2,1,1,3,4,5,4,1
50,Female,No,725.0,5.0,1.0,4,4,4,5,5,3,3,4
26,Male,No,679.0,5.0,15.0,3,4,5,5,2,4,3,4
25,Female,No,397.0,7.0,9.0,3,3,4,5,3,3,3,4
28,Female,Yes,579.0,11.0,0.0,2,4,3,2,3,4,1,3
29,Female,No,792.0,9.0,12.0,3,3,4,4,4,2,4,4
28,Female,No,465.0,17.0,10.0,3,3,4,3,5,4,5,3
26,Male,No,448.0,12.0,3.0,4,4,1,2,5,2,2,1
42,Female,Yes,1587.0,1.0,23.0,1,2,5,1,5,3,3,1
23,Female,No,297.0,10.0,18.0,3,2,2,5,3,5,2,2
39,Female,Yes,1922.0,9.0,6.0,4,2,1,2,3,3,2,2
37,Male,No,2404.0,12.0,6.0,4,2,4,1,2,3,2,2
27,Male,Yes,3295.0,2.0,10.0,4,3,2,2,3,4,2,3
30,Female,No,360.0,7.0,2.0,2,1,4,2,3,2,1,1
26,Female,Yes,514.0,19.0,7.0,5,3,4,5,4,4,3,4
27,Female,No,2556.0,19.0,12.0,1,1,2,1,3,2,4,2
23,Female,Yes,136.0,1.0,2.0,3,5,3,4,4,4,4,3
29,Male,No,2210.0,16.0,17.0,4,4,4,5,4,4,1,4
34,Female,Yes,455.0,13.0,2.0,5,4,3,5,1,4,2,3
46,Female,Yes,2373.0,8.0,2.0,3,3,2,4,4,4,1,3
34,Male,No,811.0,9.0,1.0,1,2,4,2,4,5,1,1
51,Male,No,468.0,4.0,14.0,2,2,4,4,5,4,5,2
35,Male,Yes,712.0,11.0,38.0,5,4,2,4,3,2,2,4
31,Female,No,2377.0,0.0,4.0,4,5,4,3,3,5,4,5
23,Female,No,509.0,15.0,4.0,2,3,4,5,4,5,5,1
57,Female,Yes,554.0,4.0,2.0,5,3,2,4,5,5,3,5
33,Male,No,494.0,20.0,3.0,1,3,3,1,3,4,1,2
33,Female,No,711.0,4.0,8.0,2,3,5,5,4,3,1,3
37,Female,No,2317.0,4.0,10.0,3,3,4,2,3,2,3,2
43,Female,No,529.0,1.0,10.0,3,1,1,1,5,2,1,1
23,Male,No,318.0,0.0,19.0,2,1,4,1,3,4,3,1
23,Female,Yes,292.0,9.0,25.0,4,3,2,1,3,2,4,1
46,Female,Yes,3110.0,0.0,5.0,5,5,2,3,5,3,1,5
34,Female,No,2490.0,19.0,15.0,4,5,2,5,4,2,2,4
37,Female,No,595.0,40.0,9.0,2,1,2,2,4,4,4,1
24,Male,No,455.0,1.0,9.0,1,2,3,3,3,5,1,1
22,Male,No,598.0,5.0,11.0,4,5,2,4,4,2,5,3
28,Male,Yes,608.0,13.0,22.0,3,1,2,4,5,3,1,2
27,Female,Yes,3506.0,3.0,7.0,3,5,4,5,5,4,1,5
32,Male,Yes,948.0,2.0,6.0,2,3,2,5,4,4,4,2
23,Female,Yes,544.0,6.0,2.0,4,4,3,2,5,4,2,5
39,Male,No,504.0,5.0,27.0,4,4,1,2,4,5,2,1
42,Male,Yes,3405.0,1.0,2.0,4,3,4,2,1,2,1,4
23,Female,No,608.0,4.0,22.0,3,2,2,4,4,4,1,2
45,Male,No,3232.0,6.0,47.0,4,2,3,2,3,4,2,1
33,Female,No,527.0,7.0,4.0,4,3,4,4,4,5,2,5
26,Male,No,2878.0,16.0,7.0,3,1,3,2,4,3,1,2
36,Male,No,2205.0,2.0,4.0,3,4,3,5,4,4,3,3
47,Female,Yes,2421.0,4.0,10.0,5,5,4,5,4,4,3,5
26,Male,No,2018.0,3.0,4.0,2,2,4,1,3,4,4,1
58,Male,No,494.0,9.0,1.0,2,1,1,3,4,5,4,1
45,Male,No,1989.0,8.0,29.0,4,4,4,3,4,2,3,1
23,Female,No,365.0,32.0,10.0,4,1,4,1,4,5,2,1
39,Female,No,623.0,2.0,0.0,3,4,5,3,5,3,1,5
38,Female,No,2389.0,2.0,11.0,4,1,2,2,5,3,2,1
46,Female,No,442.0,1.0,8.0,4,4,2,5,3,4,1,5
40,Female,Yes,2134.0,23.0,3.0,3,4,4,2,4,4,5,4
55,Female,No,2146.0,36.0,4.0,3,4,2,4,3,4,3,2
32,Female,No,2309.0,1.0,3.0,4,3,5,4,3,4,1,5
34,Male,Yes,420.0,10.0,9.0,5,4,3,2,4,4,5,2
54,Female,Yes,1860.0,7.0,9.0,4,3,3,5,3,4,1,5
27,Male,No,2134.0,12.0,2.0,2,4,4,4,4,5,1,1
35,Male,No,2106.0,47.0,2.0,2,2,2,1,3,1,2,1
30,Male,Yes,566.0,3.0,1.0,2,1,2,3,4,5,5,1
28,Female,No,522.0,0.0,5.0,1,1,4,3,5,3,2,1
29,Female,No,787.0,8.0,3.0,4,3,5,4,3,4,1,5
30,Male,No,558.0,54.0,13.0,3,2,3,3,2,4,2,1
31,Female,No,564.0,0.0,9.0,3,4,1,5,3,3,3,2
33,Female,No,2313.0,3.0,5.0,1,3,2,1,3,3,3,1
31,Female,No,330.0,13.0,24.0,2,1,4,1,3,2,1,1
44,Male,No,2469.0,5.0,5.0,5,5,3,4,1,4,3,3
42,Male,No,2485.0,6.0,28.0,4,4,2,3,3,4,1,3
33,Female,Yes,499.0,14.0,3.0,1,4,2,3,3,4,1,1
44,Female,Yes,509.0,8.0,35.0,4,3,5,3,4,5,2,2
51,Male,Yes,2596.0,1.0,4.0,3,3,4,5,4,3,3,5
43,Female,No,757.0,1.0,12.0,3,1,2,2,3,4,3,2
54,Female,Yes,2133.0,25.0,0.0,2,3,4,3,2,5,1,4
24,Male,No,618.0,6.0,3.0,3,3,5,3,5,5,3,4
23,Male,No,550.0,14.0,0.0,5,5,2,4,1,4,1,1
52,Male,Yes,716.0,16.0,19.0,3,3,3,4,4,2,4,1
36,Female,No,473.0,13.0,1.0,1,4,2,2,4,4,4,2
31,Female,Yes,324.0,0.0,8.0,3,4,3,5,3,3,4,4
24,Female,No,564.0,1.0,9.0,5,2,2,4,2,4,3,3
35,Male,No,381.0,9.0,3.0,3,3,3,3,5,5,2,4
28,Female,No,387.0,18.0,6.0,2,2,3,4,5,3,4,3
46,Female,No,2680.0,7.0,4.0,5,4,4,5,4,3,2,5
54,Female,Yes,519.0,3.0,2.0,3,3,4,1,4,4,3,3
40,Female,No,452.0,7.0,0.0,4,4,4,5,5,4,2,5
48,Male,No,2367.0,6.0,5.0,3,3,3,2,3,1,4,2
41,Female,No,2837.0,4.0,7.0,5,4,3,5,5,3,4,4
40,Male,Yes,607.0,13.0,5.0,3,3,2,3,5,3,4,2
31,Female,Yes,588.0,4.0,17.0,3,1,3,3,5,3,3,1
31,Male,No,393.0,42.0,0.0,4,3,2,3,3,3,4,2
51,Male,No,549.0,4.0,36.0,2,1,4,2,3,4,4,1
47,Female,No,631.0,4.0,21.0,4,3,1,2,2,3,2,1
35,Female,Yes,2726.0,6.0,8.0,1,1,5,1,3,2,4,2
55,Female,Yes,2794.0,5.0,10.0,3,5,3,4,3,4,3,5
26,Female,Yes,2645.0,13.0,6.0,4,4,4,5,4,2,2,5
49,Female,Yes,512.0,5.0,3.0,3,3,2,1,3,4,5,3
43,Male,No,497.0,1.0,25.0,3,3,2,1,4,5,5,1
32,Female,Yes,2430.0,20.0,7.0,2,1,2,2,4,4,2,1
45,Female,No,556.0,25.0,9.0,3,5,2,4,5,4,1,3
48,Female,Yes,738.0,11.0,35.0,4,2,2,4,5,3,4,1
45,Female,No,2702.0,2.0,1.0,2,3,2,4,3,3,2,2
26,Female,No,2512.0,23.0,24.0,1,3,2,3,4,3,2,1
41,Male,No,3110.0,19.0,0.0,4,3,2,3,4,4,1,3
33,Male,No,611.0,3.0,9.0,3,2,5,1,3,4,5,2
59,Female,No,2578.0,14.0,15.0,4,5,1,2,1,3,3,1
25,Male,Yes,461.0,6.0,7.0,2,4,4,3,3,2,1,2
27,Female,No,2931.0,2.0,26.0,1,2,5,2,4,4,2,1
27,Male,Yes,421.0,19.0,8.0,4,3,1,3,4,4,2,4
31,Female,No,733.0,6.0,21.0,4,3,4,5,4,3,3,2
29,Female,No,394.0,19.0,20.0,2,2,4,3,5,5,2,4
34,Female,No,2654.0,8.0,5.0,3,2,1,2,5,4,1,1
43,Male,Yes,500.0,5.0,3.0,4,4,2,2,2,4,4,2
35,Female,Yes,499.0,3.0,1.0,4,3,3,5,5,3,3,4
42,Male,No,408.0,3.0,5.0,4,3,1,5,3,3,3,4
31,Female,No,500.0,29.0,5.0,3,3,5,3,4,1,1,1
33,Male,Yes,2242.0,4.0,3.0,5,2,3,3,4,4,2,5
40,Female,No,2163.0,2.0,1.0,3,3,5,2,5,3,2,3
39,Female,No,2341.0,22.0,6.0,4,4,1,3,4,5,1,4
37,Female,No,514.0,4.0,17.0,3,3,4,3,3,5,3,3
47,Male,No,533.0,0.0,11.0,5,5,4,4,4,4,1,4
29,Male,No,670.0,2.0,0.0,2,1,3,1,1,4,2,1
36,Male,No,611.0,5.0,27.0,4,4,2,3,4,5,2,3
31,Female,Yes,2613.0,2.0,3.0,4,2,2,4,5,3,3,4
23,Female,No,2550.0,7.0,45.0,3,2,3,4,5,1,2,1
29,Male,No,2386.0,2.0,2.0,5,3,3,2,4,4,4,5
28,Male,Yes,1607.0,21.0,22.0,1,1,4,1,3,2,1,1
46,Female,Yes,305.0,17.0,11.0,2,2,4,1,3,1,3,1
29,Female,No,768.0,0.0,1.0,3,3,4,3,3,4,2,4
45,Male,No,2733.0,12.0,37.0,3,2,2,1,5,1,1,1
46,Female,Yes,725.0,12.0,4.0,3,5,4,5,4,4,1,4
30,Female,No,405.0,8.0,12.0,4,4,5,5,3,3,1,2
35,Female,No,448.0,11.0,24.0,2,2,4,2,5,5,2,1
54,Female,Yes,374.0,0.0,8.0,5,5,3,4,3,4,1,5
30,Male,No,597.0,13.0,4.0,3,3,3,4,3,3,1,3
25,Male,Yes,3154.0,5.0,6.0,3,2,5,4,3,2,5,2
38,Male,No,2143.0,1.0,3.0,5,5,3,4,4,4,3,3
23,Female,Yes,259.0,3.0,13.0,4,4,4,2,5,5,5,4
24,Female,No,488.0,7.0,3.0,1,5,2,3,2,3,4,1
39,Female,Yes,849.0,11.0,8.0,1,4,4,3,2,3,1,1
35,Male,No,669.0,11.0,18.0,3,3,2,3,5,3,1,1
41,Male,No,717.0,5.0,6.0,4,2,4,2,5,2,2,3
50,Male,No,2630.0,4.0,6.0,3,2,3,2,3,4,1,1
24,Female,Yes,3152.0,1.0,3.0,4,4,2,3,5,3,2,3
23,Female,No,2401.0,4.0,7.0,3,4,2,3,5,3,1,1
41,Female,Yes,2482.0,11.0,8.0,5,5,2,5,4,4,4,4
55,Male,No,2896.0,7.0,1.0,2,2,3,4,4,2,4,2
29,Female,No,670.0,7.0,2.0,2,2,3,2,4,4,4,2
40,Female,Yes,381.0,39.0,25.0,3,4,5,3,4,4,3,1
27,Female,Yes,2324.0,5.0,6.0,3,2,5,3,4,1,3,2
40,Female,No,3296.0,2.0,3.0,1,1,3,1,3,4,4,1
41,Female,Yes,2866.0,25.0,21.0,3,1,3,1,3,4,1,1
31,Female,No,361.0,1.0,24.0,2,3,5,4,5,4,3,2
37,Female,No,244.0,20.0,7.0,1,1,3,2,3,2,1,1
41,Female,No,646.0,12.0,28.0,4,4,5,2,2,4,1,3
29,Male,No,463.0,2.0,10.0,3,4,4,2,5,4,5,3
35,Female,No,2615.0,1.0,0.0,3,1,2,4,4,3,3,3
56,Female,Yes,2322.0,23.0,2.0,4,5,4,3,5,4,1,5
19,Male,Yes,307.0,28.0,2.0,1,4,3,2,4,4,3,1
35,Male,No,147.0,11.0,1.0,3,4,2,3,4,3,3,4
21,Female,No,422.0,11.0,4.0,1,3,4,5,2,4,1,3
26,Male,No,2646.0,17.0,4.0,5,5,2,4,4,3,1,5
21,Male,No,2925.0,6.0,18.0,5,2,5,4,2,2,1,2
37,Male,No,592.0,3.0,2.0,5,3,3,3,3,1,3,2
58,Male,No,2511.0,1.0,23.0,2,3,3,3,3,4,1,2
62,Female,No,729.0,15.0,9.0,3,4,4,1,3,3,2,2
40,Female,No,2284.0,14.0,40.0,3,2,3,3,3,5,2,1
38,Female,Yes,2086.0,12.0,8.0,2,1,3,3,2,3,4,1
36,Female,Yes,469.0,7.0,5.0,3,1,4,3,1,2,1,3
35,Female,No,381.0,2.0,2.0,4,5,5,3,4,3,2,3
28,Male,Yes,369.0,10.0,2.0,4,5,2,5,4,3,3,5
26,Female,Yes,2178.0,1.0,1.0,1,1,1,2,3,5,4,1
36,Female,No,614.0,8.0,4.0,4,4,4,3,4,3,4,4
37,Female,No,393.0,5.0,10.0,2,4,5,3,5,5,1,2
36,Female,No,409.0,3.0,14.0,4,4,3,4,4,4,2,5
47,Female,Yes,1462.0,0.0,3.0,2,3,3,2,5,3,1,1
32,Male,No,354.0,3.0,4.0,5,5,5,4,3,3,1,4
56,Female,Yes,2086.0,4.0,6.0,4,5,1,4,4,5,2,4
36,Male,Yes,565.0,5.0,6.0,2,4,3,2,4,3,1,2
55,Male,No,1869.0,30.0,7.0,5,5,3,5,4,4,3,5
27,Female,No,419.0,9.0,0.0,5,5,3,3,5,4,1,5
32,Male,Yes,2848.0,28.0,11.0,4,5,4,5,3,5,3,4
25,Female,Yes,2506.0,22.0,16.0,5,5,2,5,3,4,1,2
34,Female,Yes,701.0,0.0,2.0,4,5,4,4,5,4,4,4
40,Female,No,401.0,10.0,18.0,4,3,2,5,3,2,4,2
47,Male,No,403.0,41.0,7.0,5,3,3,3,1,4,1,2
21,Female,No,663.0,23.0,6.0,4,3,3,5,3,5,5,5
45,Male,Yes,2436.0,25.0,3.0,3,5,4,4,2,2,5,4
27,Male,No,2787.0,10.0,18.0,1,2,5,1,4,4,4,1
33,Female,Yes,292.0,25.0,16.0,2,1,4,1,4,3,3,1
58,Male,No,2638.0,23.0,23.0,1,3,5,2,2,4,4,4
43,Male,No,378.0,4.0,17.0,2,2,3,3,5,2,4,1
32,Female,Yes,3374.0,7.0,30.0,3,5,4,2,3,5,4,2
38,Female,Yes,494.0,4.0,4.0,1,2,4,1,5,4,2,1
27,Male,Yes,277.0,10.0,17.0,3,1,5,1,5,3,3,2
32,Female,Yes,565.0,0.0,5.0,4,2,3,3,1,4,4,4
28,Male,No,2536.0,12.0,10.0,3,3,3,5,4,3,2,4
25,Female,No,419.0,14.0,5.0,4,4,3,5,4,4,1,3
63,Male,Yes,2316.0,3.0,6.0,3,1,2,3,4,5,2,2
46,Female,Yes,542.0,1.0,11.0,3,4,2,2,3,3,2,1
31,Female,No,639.0,29.0,20.0,1,2,5,1,4,5,2,1
32,Male,No,2492.0,22.0,1.0,5,3,5,1,4,5,3,4
27,Female,No,386.0,1.0,18.0,4,5,5,4,4,3,3,5
41,Male,Yes,2985.0,7.0,2.0,5,2,3,4,5,4,5,5
37,Female,Yes,2913.0,2.0,7.0,2,1,3,2,4,1,2,1
27,Female,No,413.0,16.0,17.0,4,4,4,4,3,3,1,2
37,Male,No,503.0,13.0,3.0,4,3,4,4,4,2,1,1
51,Female,No,610.0,17.0,5.0,4,2,2,3,5,2,4,1
48,Female,Yes,694.0,1.0,37.0,4,4,4,4,4,3,1,2
24,Female,No,551.0,9.0,2.0,5,4,4,5,3,2,4,4
74,Female,Yes,683.0,10.0,1.0,3,3,2,3,2,5,5,5
34,Male,Yes,1779.0,1.0,5.0,2,2,2,2,3,1,1,2
27,Male,Yes,2304.0,28.0,6.0,5,3,3,4,5,4,3,5
45,Female,Yes,2524.0,8.0,13.0,3,3,4,3,2,4,2,4
37,Female,No,586.0,12.0,23.0,5,5,1,5,5,2,5,4
49,Female,No,525.0,6.0,0.0,1,1,4,1,3,4,4,1
58,Male,Yes,667.0,2.0,16.0,3,4,4,3,3,3,4,4
35,Male,No,355.0,14.0,3.0,3,2,5,2,5,4,2,3
47,Male,No,2658.0,10.0,10.0,4,4,3,3,4,3,3,3
30,Male,No,438.0,0.0,5.0,5,5,1,4,3,3,4,4
25,Male,No,630.0,18.0,1.0,1,1,4,3,3,4,1,1
27,Female,No,2824.0,0.0,15.0,3,5,5,3,4,4,1,3
26,Male,No,727.0,2.0,18.0,3,4,3,5,1,2,1,1
50,Female,No,515.0,18.0,3.0,2,3,1,3,3,2,2,1
55,Male,No,642.0,1.0,5.0,3,3,4,5,4,3,3,4
22,Male,Yes,291.0,10.0,1.0,2,1,3,2,4,2,4,1
46,Male,No,585.0,10.0,11.0,5,2,1,5,2,4,1,3
21,Female,No,2345.0,0.0,15.0,4,4,3,4,5,4,2,4
39,Female,Yes,2638.0,2.0,10.0,4,4,5,5,2,2,1,2
43,Male,No,2466.0,7.0,28.0,3,3,5,3,4,2,2,2
33,Female,Yes,504.0,4.0,2.0,2,2,5,1,2,4,3,3
35,Female,No,1727.0,1.0,3.0,2,3,1,4,4,4,1,3
27,Male,Yes,2998.0,3.0,7.0,3,3,4,3,4,2,3,3
48,Female,No,552.0,2.0,15.0,1,2,4,5,3,5,3,4
25,Male,No,2871.0,11.0,1.0,3,2,5,2,3,5,1,4
38,Female,No,233.0,8.0,4.0,4,5,4,4,3,4,1,5
36,Female,No,469.0,3.0,16.0,1,1,3,2,5,5,2,1
29,Male,No,2274.0,26.0,2.0,3,5,5,5,3,3,1,3
31,Male,Yes,479.0,1.0,2.0,5,4,3,4,4,5,2,5
51,Female,No,514.0,27.0,7.0,1,2,4,1,2,2,4,1
34,Female,No,2669.0,4.0,28.0,4,3,3,1,4,5,4,3
41,Female,No,553.0,6.0,12.0,3,5,4,5,2,1,1,1
37,Female,No,200.0,1.0,5.0,4,5,4,5,1,2,4,5
45,Female,No,428.0,0.0,0.0,3,1,3,3,3,4,3,4
34,Female,Yes,601.0,10.0,2.0,4,5,1,2,5,4,3,4
28,Male,No,837.0,17.0,2.0,5,4,2,4,5,3,5,3
24,Female,No,2613.0,1.0,15.0,4,4,2,3,5,3,3,3
41,Male,No,773.0,5.0,7.0,3,2,5,3,5,4,1,1
38,Male,No,2925.0,11.0,0.0,3,3,4,3,3,3,3,3
41,Male,No,558.0,6.0,14.0,1,2,5,3,3,3,3,1
24,Male,No,494.0,8.0,4.0,3,3,4,3,3,4,2,4
33,Female,No,2641.0,40.0,5.0,3,2,4,4,3,1,2,1
36,Female,No,570.0,12.0,6.0,2,3,5,1,5,3,4,1
28,Male,Yes,2047.0,1.0,15.0,2,2,4,1,3,5,4,1
22,Female,No,2143.0,7.0,16.0,2,1,1,2,4,2,3,1
35,Female,No,2222.0,0.0,1.0,4,3,4,2,2,4,2,3
34,Female,Yes,2429.0,2.0,9.0,3,1,5,4,4,4,4,3
63,Male,Yes,397.0,5.0,6.0,3,1,4,2,4,4,3,3
